Designator,Mid X,Mid Y,Layer,Rotation
C1,145.1936,-81.0078,top,90
C2,189.8214,-80.7538,top,90
C3,153.16412,-76.9946,top,90
D1,166.5522,-78.4242,top,90
D2,168.5522,-78.4242,top,90
D3,170.5522,-78.4242,top,90
D4,172.5522,-78.4242,top,90
D5,174.5522,-78.4242,top,90
D6,176.5522,-78.4242,top,90
D7,178.5522,-78.4242,top,90
D8,180.5522,-78.4242,top,90
D9,182.5522,-78.4242,top,90
D10,184.5522,-78.4242,top,90
D11,186.5522,-78.4242,top,90
D12,188.5522,-78.4242,top,90
D13,188.603,-71.8242,top,270
D14,186.603,-71.8242,top,270
D15,184.603,-71.8242,top,270
D16,182.603,-71.8242,top,270
D17,180.603,-71.8242,top,270
D18,178.603,-71.8242,top,270
D19,176.603,-71.8242,top,270
D20,174.603,-71.8242,top,270
D21,172.602,-71.8242,top,270
D22,170.603,-71.8242,top,270
D23,168.603,-71.8242,top,270
D24,166.603,-71.8242,top,270
R1,166.103,-76.1242,top,90
R2,168.103,-76.1242,top,90
R3,170.103,-76.1242,top,90
R4,172.103,-76.1242,top,90
R5,174.103,-76.1242,top,90
R6,176.103,-76.1242,top,90
R7,178.103,-76.1242,top,90
R8,180.103,-76.1242,top,90
R9,182.103,-76.1242,top,90
R10,184.103,-76.1242,top,90
R11,186.103,-76.1242,top,90
R12,188.103,-76.1242,top,90
R13,188.103,-74.1242,top,90
R14,186.103,-74.1242,top,90
R15,184.103,-74.1242,top,90
R16,182.103,-74.1242,top,90
R17,180.103,-74.1242,top,90
R18,178.103,-74.1242,top,90
R19,176.103,-74.1242,top,90
R20,174.103,-74.1242,top,90
R21,172.103,-74.1242,top,90
R22,170.103,-74.1242,top,90
R23,168.103,-74.1242,top,90
R24,166.103,-74.1242,top,90
R25,150.95432,-76.9946,top,90
R26,148.85,-77,top,90
R27,146.74808,-77,top,90
R31,167.103,-76.1242,top,90
R32,169.103,-76.1242,top,90
R33,171.103,-76.1242,top,90
R34,173.103,-76.1242,top,90
R35,175.103,-76.1242,top,90
R36,177.103,-76.1242,top,90
R37,179.103,-76.1242,top,90
R38,181.103,-76.1242,top,90
R39,183.103,-76.1242,top,90
R40,185.103,-76.1242,top,90
R41,187.103,-76.1242,top,90
R42,189.103,-76.1242,top,90
R43,189.103,-74.1242,top,90
R44,187.103,-74.1242,top,90
R45,185.103,-74.1242,top,90
R46,183.103,-74.1242,top,90
R47,181.103,-74.1242,top,90
R48,179.103,-74.1242,top,90
R49,177.103,-74.1242,top,90
R50,175.103,-74.1242,top,90
R51,173.103,-74.1242,top,90
R52,171.103,-74.1242,top,90
R53,169.103,-74.1242,top,90
R54,167.103,-74.1242,top,90
U1,158.6048,-75.115,top,90
